"city","avg_price_per_guest","avg_review_scores","total_listings","business_ready","residentially_equipped","luxury_profile"
New York,69.92,4.740000,4631,"2)Standard Business Ready","2)Highly Equipped","3)Moderately Luxurious"
New York,73.17,4.640000,3680,"2)Standard Business Ready","2)Highly Equipped","4)Not Luxurious"
New York,51.07,4.790000,26,"2)Standard Business Ready","3)Moderately Equipped","2)Mostly Luxurious"
New York,68.35,4.650000,755,"2)Standard Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
New York,62.25,4.520000,1461,"2)Standard Business Ready","3)Moderately Equipped","4)Not Luxurious"
New York,136.96,4.660000,33,"2)Standard Business Ready","4)Not Equipped","4)Not Luxurious"
New York,55.88,4.460000,24,"3)Not Business Ready","2)Highly Equipped","3)Moderately Luxurious"
New York,74.69,4.060000,37,"3)Not Business Ready","2)Highly Equipped","4)Not Luxurious"
New York,85.25,4.710000,33,"3)Not Business Ready","3)Moderately Equipped","4)Not Luxurious"
New York,72.57,4.740000,481,"3)Not Business Ready","4)Not Equipped","4)Not Luxurious"
Paris,115.08,4.880000,88,"1)Full Business Ready","1)Fully Equipped","2)Mostly Luxurious"
Paris,131.0,4.790000,569,"1)Full Business Ready","1)Fully Equipped","3)Moderately Luxurious"
Paris,113.17,4.790000,260,"1)Full Business Ready","1)Fully Equipped","4)Not Luxurious"
Paris,85.41,4.840000,236,"1)Full Business Ready","2)Highly Equipped","2)Mostly Luxurious"
Paris,86.32,4.770000,3777,"1)Full Business Ready","2)Highly Equipped","3)Moderately Luxurious"
Paris,76.97,4.720000,3885,"1)Full Business Ready","2)Highly Equipped","4)Not Luxurious"
Paris,120.57,4.620000,208,"1)Full Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
Paris,80.41,4.640000,358,"1)Full Business Ready","3)Moderately Equipped","4)Not Luxurious"
Paris,50.54,4.640000,19,"1)Full Business Ready","4)Not Equipped","4)Not Luxurious"
Paris,128.4,4.900000,135,"2)Standard Business Ready","1)Fully Equipped","2)Mostly Luxurious"
Paris,123.06,4.830000,1098,"2)Standard Business Ready","1)Fully Equipped","3)Moderately Luxurious"
Paris,118.61,4.820000,599,"2)Standard Business Ready","1)Fully Equipped","4)Not Luxurious"
Paris,92.85,4.840000,716,"2)Standard Business Ready","2)Highly Equipped","2)Mostly Luxurious"
Paris,88.01,4.790000,12528,"2)Standard Business Ready","2)Highly Equipped","3)Moderately Luxurious"
Paris,77.46,4.740000,15131,"2)Standard Business Ready","2)Highly Equipped","4)Not Luxurious"
Paris,97.06,4.690000,1056,"2)Standard Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
Paris,88.93,4.670000,5285,"2)Standard Business Ready","3)Moderately Equipped","4)Not Luxurious"
Paris,144.1,4.500000,150,"2)Standard Business Ready","4)Not Equipped","4)Not Luxurious"
Paris,70.32,4.710000,141,"3)Not Business Ready","2)Highly Equipped","3)Moderately Luxurious"
Paris,73.7,4.630000,326,"3)Not Business Ready","2)Highly Equipped","4)Not Luxurious"
Paris,76.36,4.650000,54,"3)Not Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
Paris,72.75,4.520000,436,"3)Not Business Ready","3)Moderately Equipped","4)Not Luxurious"
Paris,101.93,4.550000,90,"3)Not Business Ready","4)Not Equipped","4)Not Luxurious"
Tokyo,33.86,4.820000,248,"1)Full Business Ready","1)Fully Equipped","2)Mostly Luxurious"
Tokyo,35.92,4.760000,1652,"1)Full Business Ready","1)Fully Equipped","3)Moderately Luxurious"
Tokyo,36.11,4.800000,202,"1)Full Business Ready","1)Fully Equipped","4)Not Luxurious"
Tokyo,29.53,4.850000,704,"1)Full Business Ready","2)Highly Equipped","2)Mostly Luxurious"
Tokyo,31.57,4.800000,5399,"1)Full Business Ready","2)Highly Equipped","3)Moderately Luxurious"
Tokyo,32.31,4.760000,1165,"1)Full Business Ready","2)Highly Equipped","4)Not Luxurious"
Tokyo,35.23,4.740000,81,"1)Full Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
Tokyo,37.45,4.580000,53,"1)Full Business Ready","3)Moderately Equipped","4)Not Luxurious"
Tokyo,39.53,4.820000,240,"2)Standard Business Ready","1)Fully Equipped","2)Mostly Luxurious"
Tokyo,45.27,4.730000,5239,"2)Standard Business Ready","1)Fully Equipped","3)Moderately Luxurious"
Tokyo,43.46,4.750000,414,"2)Standard Business Ready","1)Fully Equipped","4)Not Luxurious"
Tokyo,30.77,4.830000,760,"2)Standard Business Ready","2)Highly Equipped","2)Mostly Luxurious"
Tokyo,38.67,4.740000,11364,"2)Standard Business Ready","2)Highly Equipped","3)Moderately Luxurious"
Tokyo,34.39,4.700000,3628,"2)Standard Business Ready","2)Highly Equipped","4)Not Luxurious"
Tokyo,36.37,4.590000,239,"2)Standard Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
Tokyo,41.07,4.620000,420,"2)Standard Business Ready","3)Moderately Equipped","4)Not Luxurious"
Tokyo,28.13,4.590000,31,"3)Not Business Ready","2)Highly Equipped","3)Moderately Luxurious"
